ORGANIZATION_NAME,SHELTER_GROUP,LOCATION_NAME,OVERNIGHT_SERVICE_TYPE,SERVICE_USER_COUNT,CAPACITY_TYPE,CAPACITY_ACTUAL_BED,CAPACITY_FUNDING_BED,OCCUPIED_BEDS,UNOCCUPIED_BEDS,UNAVAILABLE_BEDS,OCCUPIED_ROOMS,UNOCCUPIED_ROOMS,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS
The Salvation Army of Canada,Salvation Army - Evangeline Res,SA Evangeline Residence,Shelter,76,Bed Based Capacity,76,76,76,0,0,,,100,
The Salvation Army of Canada,Salvation Army - Florence Booth,Etobicoke Hotel Site 1,Motel/Hotel Shelter,43,Room Based Capacity,,,,,,28,0,,100
The Salvation Army of Canada,Salvation Army - Gateway,SA Gateway,Shelter,66,Bed Based Capacity,66,66,66,0,0,,,100,
The Salvation Army of Canada,Salvation Army - Maxwell Meighen,SA Scarborough Hotel Program,Motel/Hotel Shelter,131,Room Based Capacity,,,,,,131,0,,100
The Salvation Army of Canada,Salvation Army - Maxwell Meighen,Maxwell Meighen Centre,Shelter,244,Bed Based Capacity,244,245,244,0,1,,,100,
The Salvation Army of Canada,Salvation Army - New Hope Leslie,Etobicoke Hotel Site 1,Motel/Hotel Shelter,59,Room Based Capacity,,,,,,36,0,,100
The Salvation Army of Canada,Salvation Army - New Hope Leslie,SA New Hope Leslieville,Shelter,43,Bed Based Capacity,43,43,43,0,0,,,100,
The Salvation Army of Canada,Salvation Army Islington Seniors,SA Islington Seniors' Shelter,Shelter,46,Bed Based Capacity,46,46,46,0,0,,,100,
The Salvation Army of Canada,Salvation Army Islington Seniors,SA Islington Seniors' Shelter,Shelter,37,Bed Based Capacity,37,37,37,0,0,,,100,
The Scott Mission Inc.,Scott Mission Men's Ministry,The Scott Mission - Kensington location,Shelter,66,Bed Based Capacity,66,66,66,0,0,,,100,
Toronto Community Hostel,Toronto Community Hostel,Toronto Community Hostel (MUC),Shelter,9,Room Based Capacity,,,,,,3,1,,75
Toronto Community Hostel,Toronto Community Hostel,Toronto Community Hostel (MUC),Shelter,6,Bed Based Capacity,6,6,6,0,0,,,100,
Turning Point Youth Services,Turning Point Youth Services,Turning Point Youth Services ,Shelter,18,Bed Based Capacity,18,18,18,0,0,,,100,
Warden Woods Community Centre,Scarborough Cold Weather Drop-IN,Warden Woods 705 Progress Ave Respite ,24-Hour Respite Site,49,Bed Based Capacity,49,49,49,0,0,,,100,
Women's Hostels Inc.,Nellie's,,Shelter,12,Bed Based Capacity,12,12,12,0,0,,,100,
WoodGreen Red Door Family Shelter,Red Door Family Shelter,Red Door Family Shelter,Shelter,85,Room Based Capacity,,,,,,26,0,,100
YMCA of Greater Toronto,YMCA House,Vanauley Street YMCA Emergency Shelter,Shelter,20,Bed Based Capacity,20,20,20,0,0,,,100,
YMCA of Greater Toronto,YMCA House,Multiple Youth Agencies Downtown Hotel Program,Motel/Hotel Shelter,42,Room Based Capacity,,,,,,42,0,,100
YMCA of Greater Toronto,YMCA Sprott House,YMCA Sprott House ,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
YWCA Toronto,YWCA - First Stop Woodlawn,YWCA 1st Stop Woodlawn ,Shelter,26,Bed Based Capacity,26,27,26,0,1,,,100,
YWCA Toronto,YWCA - First Stop Woodlawn,YWCA 1st Stop Woodlawn ,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
YWCA Toronto,YWCA-348 Davenport,YWCA Davenport Shelter,Shelter,20,Bed Based Capacity,20,20,20,0,0,,,100,
YWCA Toronto,YWCA-348 Davenport,YWCA Davenport Shelter,Shelter,21,Bed Based Capacity,21,21,21,0,0,,,100,
Youth Without Shelter,Youth Without Shelter,Youth Without Shelter ,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Youth Without Shelter,Youth Without Shelter,Youth Without Shelter ,Shelter,14,Bed Based Capacity,15,15,14,1,0,,,93.33,
YouthLink,YouthLink Shelter,YouthLink ,Shelter,10,Bed Based Capacity,10,10,10,0,0,,,100,
YouthLink,YouthLink Shelter,YouthLink ,Shelter,39,Bed Based Capacity,39,40,39,0,1,,,100,
COSTI Immigrant Services,COSTI Reception Centre,COSTI Hotel Program Dixon,Motel/Hotel Shelter,626,Room Based Capacity,,,,,,149,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Hotel Program Dixon,Motel/Hotel Shelter,113,Room Based Capacity,,,,,,57,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Reception Centre,Shelter,8,Bed Based Capacity,8,8,8,0,0,,,100,
COSTI Immigrant Services,COSTI Reception Centre,COSTI Uptown Hotel Program,Motel/Hotel Shelter,1,Room Based Capacity,,,,,,1,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Uptown Hotel Program,Motel/Hotel Shelter,208,Room Based Capacity,,,,,,66,1,,98.51
COSTI Immigrant Services,COSTI Reception Centre,COSTI Uptown Hotel Program,Motel/Hotel Shelter,467,Room Based Capacity,,,,,,147,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Etobicoke Hotel Program,Motel/Hotel Shelter,151,Room Based Capacity,,,,,,146,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC West End Hotel Program,Motel/Hotel Shelter,40,Room Based Capacity,,,,,,40,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Men's Shelter Lansdowne Ave,Shelter,38,Bed Based Capacity,39,39,38,1,0,,,97.44,
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Men's Shelter Bloor St W,Shelter,18,Bed Based Capacity,18,18,18,0,0,,,100,
"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,Christie Refugee Welcome Centre,Shelter,71,Room Based Capacity,,,,,,29,0,,100
City of Toronto,Birkdale Residence,SSHA Birkdale Residence,Shelter,228,Room Based Capacity,,,,,,65,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,20,Room Based Capacity,,,,,,10,2,,83.33
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,82,Room Based Capacity,,,,,,82,1,,98.8
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,25,Room Based Capacity,,,,,,13,1,,92.86
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,77,Room Based Capacity,,,,,,77,0,,100
City of Toronto,Downsview Dells,SSHA Downsview Dells,Shelter,17,Bed Based Capacity,18,18,17,1,0,,,94.44,
City of Toronto,Expansion  Sites,SSHA Roehampton Hotel Program,Motel/Hotel Shelter,147,Room Based Capacity,,,,,,76,0,,100
City of Toronto,Expansion  Sites,Scarborough Women's Shelter - Milner,Motel/Hotel Shelter,101,Room Based Capacity,,,,,,101,0,,100
City of Toronto,Family Residence,SSHA Family Residence,Shelter,138,Room Based Capacity,,,,,,44,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 3,Motel/Hotel Shelter,94,Room Based Capacity,,,,,,36,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 3,Motel/Hotel Shelter,10,Room Based Capacity,,,,,,10,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 4,Motel/Hotel Shelter,55,Room Based Capacity,,,,,,20,0,,100
City of Toronto,Fort York Residence,SSHA Fort York Residence,Shelter,49,Bed Based Capacity,50,52,49,1,2,,,98,
City of Toronto,Fort York Residence,SSHA North Hotel Program,Motel/Hotel Shelter,69,Room Based Capacity,,,,,,66,2,,97.06
City of Toronto,Fort York Residence,SSHA Fort York Residence,Shelter,46,Bed Based Capacity,46,46,46,0,0,,,100,
City of Toronto,Progress Shelter,Progress Avenue Shelter,Shelter,92,Bed Based Capacity,92,92,92,0,0,,,100,
City of Toronto,Robertson House,Robertson House,Shelter,81,Room Based Capacity,,,,,,32,0,,100
City of Toronto,SSHA Etobicoke Hotel Program,SSHA Etobicoke Hotel Program,Motel/Hotel Shelter,169,Room Based Capacity,,,,,,136,0,,100
City of Toronto,SSHA Etobicoke Hotel Program,SSHA Etobicoke Hotel Program,Isolation/Recovery Site,1,Room Based Capacity,,,,,,1,0,,100
City of Toronto,Scarborough Village Residence,SSHA Scarborough Hotel Program 1,Motel/Hotel Shelter,48,Room Based Capacity,,,,,,24,0,,100
City of Toronto,Scarborough Village Residence,SSHA Scarborough Village Residence,Shelter,90,Bed Based Capacity,93,93,90,3,0,,,96.77,
City of Toronto,Seaton House,SSHA Junction Place,Shelter,62,Bed Based Capacity,62,62,62,0,0,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,50,Bed Based Capacity,50,51,50,0,1,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,79,Bed Based Capacity,81,81,79,2,0,,,97.53,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,19,Bed Based Capacity,22,22,19,3,0,,,86.36,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,5,Bed Based Capacity,5,10,5,0,5,,,100,
City of Toronto,Seaton House,SSHA Downtown Response Program,Shelter,53,Bed Based Capacity,53,60,53,0,7,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,72,Bed Based Capacity,72,72,72,0,0,,,100,
City of Toronto,Streets To Homes,Streets to Homes Assessment and Referral Centre (SHARC),Shelter,24,Bed Based Capacity,30,30,24,6,0,,,80,
City of Toronto,Women's Residence,SSHA Downtown Hotel Program,Motel/Hotel Shelter,66,Room Based Capacity,,,,,,61,3,,95.31
City of Toronto,Women's Residence,SSHA Womens' Residence,Shelter,6,Bed Based Capacity,6,11,6,0,5,,,100,
City of Toronto,Women's Residence,SSHA Womens' Residence,Shelter,78,Bed Based Capacity,79,85,78,1,6,,,98.73,
Cornerstone Place,Cornerstone Place,Cornerstone Place,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Covenant House Toronto,Covenant House,Covenant House Gerrard St E,Shelter,1,Bed Based Capacity,2,2,1,1,0,,,50,
Covenant House Toronto,Covenant House,Multiple Youth Agencies Downtown Hotel Program,Motel/Hotel Shelter,40,Room Based Capacity,,,,,,40,0,,100
Covenant House Toronto,Covenant House,Covenant House Gerrard St E,Shelter,62,Bed Based Capacity,62,62,62,0,0,,,100,
Covenant House Toronto,Covenant House,Covenant House McGill St,Shelter,27,Bed Based Capacity,28,28,27,1,0,,,96.43,
Dixon Hall,351 Lakeshore Respite Services,Dixon Hall 351 Lake Shore Blvd E Respite,24-Hour Respite Site,60,Bed Based Capacity,60,60,60,0,0,,,100,
Dixon Hall,Dixon Hall - Heyworth House,Dixon Hall 354 George St,24-Hour Respite Site,50,Bed Based Capacity,50,50,50,0,0,,,100,
Dixon Hall,Dixon Hall - Heyworth House,Dixon Hall Bond Place Hotel Program,Motel/Hotel Shelter,133,Room Based Capacity,,,,,,125,18,,87.41
Dixon Hall,Dixon Hall - Heyworth House,Dixon Hall Heyworth House,Shelter,51,Bed Based Capacity,51,53,51,0,2,,,100,
Dixon Hall,Dixon Hall - Heyworth House,Downtown Hotel Program - York,Motel/Hotel Shelter,90,Room Based Capacity,,,,,,90,0,,100
Dixon Hall,Dixon Hall - Schoolhouse,Dixon Hall Schoolhouse,Shelter,26,Bed Based Capacity,26,26,26,0,0,,,100,
Eva's Initiatives,Eva's Phoenix,Eva's Phoenix,Shelter,50,Bed Based Capacity,50,50,50,0,0,,,100,
Eva's Initiatives,Eva's Place,Eva's Place,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Eva's Initiatives,Eva's Place,Multiple Youth Agencies Downtown Hotel Program,Motel/Hotel Shelter,37,Room Based Capacity,,,,,,37,0,,100
Fife House Foundation,Fife House Transitional Program,Fife House Denison Ave,Shelter,5,Bed Based Capacity,5,5,5,0,0,,,100,
Fife House Foundation,Fife House Transitional Program,Fife House Sherbourne St,Shelter,10,Bed Based Capacity,11,11,10,1,0,,,90.91,
Fred Victor Centre,FV Women's Transition to Housing,Fred Victor Centre Transition to Housing Dundas St E,Shelter,37,Bed Based Capacity,37,37,37,0,0,,,100,
Fred Victor Centre,FV Women's Transition to Housing,Fred Victor Mary Sheffield House,Shelter,25,Bed Based Capacity,25,26,25,0,1,,,100,
Fred Victor Centre,Fred Victor Women's Hostel,Adelaide Resource Centre for Women,24-Hour Women's Drop-in,48,Bed Based Capacity,48,52,48,0,4,,,100,
Fred Victor Centre,Fred Victor Women's Hostel,Fred Victor Centre Fatima House,Shelter,27,Bed Based Capacity,27,27,27,0,0,,,100,
Fred Victor Centre,"Fred Victor, BUS",Fred Victor Centre Bethlehem United Shelter,Shelter,66,Bed Based Capacity,66,70,66,0,4,,,100,
Fred Victor Centre,"Fred Victor, BUS",Fred Victor Uptown Hotel Program,Motel/Hotel Shelter,282,Room Based Capacity,,,,,,270,0,,100
Fred Victor Centre,Fred Victor-Better Living Centre,Fred Victor Centre 1A Strachan Ave Respite,24-Hour Respite Site,53,Bed Based Capacity,53,58,53,0,5,,,100,
Fred Victor Centre,Fred Victor-Better Living Centre,Metro Hall,Warming Centre,45,Bed Based Capacity,45,45,45,0,0,,,100,
Friends of Ruby,Friends of Ruby,Friends of Ruby  ,Shelter,5,Bed Based Capacity,6,5,5,1,-1,,,83.33,
Friends of Ruby,Friends of Ruby,Friends of Ruby  ,Shelter,24,Bed Based Capacity,26,28,24,2,2,,,92.31,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre,Shelter,21,Bed Based Capacity,25,25,21,4,0,,,84,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre,Shelter,27,Bed Based Capacity,27,28,27,0,1,,,100,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre Barrett House,Shelter,5,Bed Based Capacity,5,5,5,0,0,,,100,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre West End Hotel Program,Motel/Hotel Shelter,46,Room Based Capacity,,,,,,46,0,,100
Homes First Society,HFS - Kennedy Shelter,HFS Kennedy Rd Women's Shelter,Shelter,49,Bed Based Capacity,50,53,49,1,3,,,98,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,102,Bed Based Capacity,106,112,102,4,6,,,96.23,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,29,Bed Based Capacity,29,30,29,0,1,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,53,Bed Based Capacity,53,57,53,0,4,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,24-Hour Respite Site,57,Bed Based Capacity,57,60,57,0,3,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS - Lawrence East Shelter,Shelter,75,Bed Based Capacity,76,76,75,1,0,,,98.68,
Homes First Society,HFS - Scarborough Shelter,HFS - Metro Strachan,Motel/Hotel Shelter,83,Room Based Capacity,,,,,,83,0,,100
Homes First Society,HFS - Scarborough Shelter,Multiple Youth & Adult Agencies Scarborough Hotel Program,Motel/Hotel Shelter,386,Room Based Capacity,,,,,,319,0,,100
Homes First Society,HFS - Scarborough Shelter,HFS - Metro Strachan,Motel/Hotel Shelter,194,Room Based Capacity,,,,,,98,0,,100
Homes First Society,HFS - Scarborough Shelter,Homes First Society - Pacewood,Shelter,17,Bed Based Capacity,17,20,17,0,3,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Placer,Shelter,68,Bed Based Capacity,68,69,68,0,1,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS St. Clair Ave E Shelter,Shelter,49,Bed Based Capacity,49,49,49,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,100,Bed Based Capacity,100,100,100,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,176,Bed Based Capacity,176,180,176,0,4,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,74,Bed Based Capacity,74,75,74,0,1,,,100,
Horizon for Youth,Horizons for Youth,Horizons for Youth,Shelter,30,Bed Based Capacity,30,30,30,0,0,,,100,
Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,Shelter,22,Bed Based Capacity,23,23,22,1,0,,,95.65,
Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,24-Hour Respite Site,30,Bed Based Capacity,30,30,30,0,0,,,100,
Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,Shelter,50,Bed Based Capacity,50,50,50,0,0,,,100,
Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,Shelter,16,Bed Based Capacity,17,17,16,1,0,,,94.12,
Native Child & Family Services Toronto,Eagles Nest Transition House,Native Child & Family Services Toronto,Shelter,7,Bed Based Capacity,11,12,7,4,1,,,63.64,
Native Child & Family Services Toronto,Eagles Nest Transition House,Multiple Youth Agencies Downtown Hotel Program,Motel/Hotel Shelter,11,Room Based Capacity,,,,,,11,3,,78.57
Sistering: A Women's Place,Sistering,Sistering,24-Hour Women's Drop-in,9,Bed Based Capacity,9,19,9,0,10,,,100,
Society of St.Vincent De Paul,SVDP - Amelie House,SVDP Amelie House,Shelter,17,Bed Based Capacity,17,17,17,0,0,,,100,
Society of St.Vincent De Paul,SVDP - Elisa House,SVDP Elisa House,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Society of St.Vincent De Paul,SVDP - Mary's Home,SVDP Mary's Home,Shelter,32,Bed Based Capacity,32,34,32,0,2,,,100,
Society of St.Vincent De Paul,SVDP - St. Clare's Residence,SVDP St. Clare's Residence,Shelter,27,Bed Based Capacity,27,30,27,0,3,,,100,
St. Felix Social Ministries Outreach,St. Felix Centre,St. Felix Centre 25 Augusta Ave. Respite ,24-Hour Respite Site,22,Bed Based Capacity,22,22,22,0,0,,,100,
St. Felix Social Ministries Outreach,St. Felix Centre,St. Felix Centre 69 Fraser Ave. Respite ,24-Hour Respite Site,52,Bed Based Capacity,52,52,52,0,0,,,100,
St. Simon's Shelter Inc.,St. Simon's Shelter,St. Simon's Clubbe House,Motel/Hotel Shelter,30,Room Based Capacity,,,,,,30,0,,100
Street Haven At The Crossroads,Street Haven,Street Haven,Shelter,28,Bed Based Capacity,28,28,28,0,0,,,100,
Street Haven At The Crossroads,Street Haven,Street Haven Downtown Hotel Program,Motel/Hotel Shelter,47,Room Based Capacity,,,,,,33,0,,100
The MUC Shelter Corporation,Sojourn House,Sojourn House Hotel Program,Shelter,216,Room Based Capacity,,,,,,74,0,,100
The MUC Shelter Corporation,Sojourn House,Sojourn House Ontario St,Shelter,76,Bed Based Capacity,76,76,76,0,0,,,100,
The MUC Shelter Corporation,Sojourn House,Sojourn House Ontario St,Shelter,66,Room Based Capacity,,,,,,23,2,,92
The Salvation Army of Canada,Salvation Army - Evangeline Res,SA Evangeline Residence,Shelter,76,Bed Based Capacity,76,76,76,0,0,,,100,
The Salvation Army of Canada,Salvation Army - Florence Booth,Etobicoke Hotel Site 1,Motel/Hotel Shelter,43,Room Based Capacity,,,,,,28,0,,100
The Salvation Army of Canada,Salvation Army - Gateway,SA Gateway,Shelter,66,Bed Based Capacity,66,66,66,0,0,,,100,
The Salvation Army of Canada,Salvation Army - Maxwell Meighen,SA Scarborough Hotel Program,Motel/Hotel Shelter,131,Room Based Capacity,,,,,,131,0,,100
The Salvation Army of Canada,Salvation Army - Maxwell Meighen,Maxwell Meighen Centre,Shelter,243,Bed Based Capacity,244,245,243,1,1,,,99.59,
The Salvation Army of Canada,Salvation Army - New Hope Leslie,Etobicoke Hotel Site 1,Motel/Hotel Shelter,58,Room Based Capacity,,,,,,36,0,,100
The Salvation Army of Canada,Salvation Army - New Hope Leslie,SA New Hope Leslieville,Shelter,43,Bed Based Capacity,43,43,43,0,0,,,100,
The Salvation Army of Canada,Salvation Army Islington Seniors,SA Islington Seniors' Shelter,Shelter,46,Bed Based Capacity,46,46,46,0,0,,,100,
The Salvation Army of Canada,Salvation Army Islington Seniors,SA Islington Seniors' Shelter,Shelter,37,Bed Based Capacity,37,37,37,0,0,,,100,
The Scott Mission Inc.,Scott Mission Men's Ministry,The Scott Mission - Kensington location,Shelter,66,Bed Based Capacity,66,66,66,0,0,,,100,
Toronto Community Hostel,Toronto Community Hostel,Toronto Community Hostel (MUC),Shelter,9,Room Based Capacity,,,,,,3,1,,75
Toronto Community Hostel,Toronto Community Hostel,Toronto Community Hostel (MUC),Shelter,6,Bed Based Capacity,6,6,6,0,0,,,100,
Turning Point Youth Services,Turning Point Youth Services,Turning Point Youth Services ,Shelter,18,Bed Based Capacity,18,18,18,0,0,,,100,
Warden Woods Community Centre,Scarborough Cold Weather Drop-IN,Warden Woods 705 Progress Ave Respite ,24-Hour Respite Site,49,Bed Based Capacity,49,49,49,0,0,,,100,
Women's Hostels Inc.,Nellie's,,Shelter,12,Bed Based Capacity,12,12,12,0,0,,,100,
WoodGreen Red Door Family Shelter,Red Door Family Shelter,Red Door Family Shelter,Shelter,85,Room Based Capacity,,,,,,26,0,,100
YMCA of Greater Toronto,YMCA House,Vanauley Street YMCA Emergency Shelter,Shelter,20,Bed Based Capacity,20,20,20,0,0,,,100,
YMCA of Greater Toronto,YMCA House,Multiple Youth Agencies Downtown Hotel Program,Motel/Hotel Shelter,41,Room Based Capacity,,,,,,41,0,,100
YMCA of Greater Toronto,YMCA Sprott House,YMCA Sprott House ,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
YWCA Toronto,YWCA - First Stop Woodlawn,YWCA 1st Stop Woodlawn ,Shelter,26,Bed Based Capacity,26,27,26,0,1,,,100,
YWCA Toronto,YWCA - First Stop Woodlawn,YWCA 1st Stop Woodlawn ,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
YWCA Toronto,YWCA-348 Davenport,YWCA Davenport Shelter,Shelter,20,Bed Based Capacity,20,20,20,0,0,,,100,
YWCA Toronto,YWCA-348 Davenport,YWCA Davenport Shelter,Shelter,21,Bed Based Capacity,21,21,21,0,0,,,100,
Youth Without Shelter,Youth Without Shelter,Youth Without Shelter ,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Youth Without Shelter,Youth Without Shelter,Youth Without Shelter ,Shelter,14,Bed Based Capacity,15,15,14,1,0,,,93.33,
YouthLink,YouthLink Shelter,YouthLink ,Shelter,10,Bed Based Capacity,10,10,10,0,0,,,100,
YouthLink,YouthLink Shelter,YouthLink ,Shelter,39,Bed Based Capacity,39,40,39,0,1,,,100,
COSTI Immigrant Services,COSTI Reception Centre,COSTI Hotel Program Dixon,Motel/Hotel Shelter,615,Room Based Capacity,,,,,,147,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Hotel Program Dixon,Motel/Hotel Shelter,113,Room Based Capacity,,,,,,57,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Reception Centre,Shelter,8,Bed Based Capacity,8,8,8,0,0,,,100,
COSTI Immigrant Services,COSTI Reception Centre,COSTI Uptown Hotel Program,Motel/Hotel Shelter,1,Room Based Capacity,,,,,,1,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Uptown Hotel Program,Motel/Hotel Shelter,208,Room Based Capacity,,,,,,66,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Uptown Hotel Program,Motel/Hotel Shelter,464,Room Based Capacity,,,,,,146,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Etobicoke Hotel Program,Motel/Hotel Shelter,150,Room Based Capacity,,,,,,145,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC West End Hotel Program,Motel/Hotel Shelter,40,Room Based Capacity,,,,,,40,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Men's Shelter Lansdowne Ave,Shelter,39,Bed Based Capacity,39,39,39,0,0,,,100,
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Men's Shelter Bloor St W,Shelter,18,Bed Based Capacity,18,18,18,0,0,,,100,
"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,Christie Refugee Welcome Centre,Shelter,71,Room Based Capacity,,,,,,29,1,,96.67
City of Toronto,Birkdale Residence,SSHA Birkdale Residence,Shelter,225,Room Based Capacity,,,,,,64,1,,98.46
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,19,Room Based Capacity,,,,,,10,2,,83.33
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,82,Room Based Capacity,,,,,,82,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,25,Room Based Capacity,,,,,,13,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,77,Room Based Capacity,,,,,,77,0,,100
City of Toronto,Downsview Dells,SSHA Downsview Dells,Shelter,18,Bed Based Capacity,18,18,18,0,0,,,100,
City of Toronto,Expansion  Sites,SSHA Roehampton Hotel Program,Motel/Hotel Shelter,147,Room Based Capacity,,,,,,76,0,,100
City of Toronto,Expansion  Sites,Scarborough Women's Shelter - Milner,Motel/Hotel Shelter,102,Room Based Capacity,,,,,,101,0,,100
City of Toronto,Family Residence,SSHA Family Residence,Shelter,138,Room Based Capacity,,,,,,44,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 3,Motel/Hotel Shelter,94,Room Based Capacity,,,,,,36,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 3,Motel/Hotel Shelter,10,Room Based Capacity,,,,,,10,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 4,Motel/Hotel Shelter,54,Room Based Capacity,,,,,,19,0,,100
City of Toronto,Fort York Residence,SSHA Fort York Residence,Shelter,50,Bed Based Capacity,50,52,50,0,2,,,100,
City of Toronto,Fort York Residence,SSHA North Hotel Program,Motel/Hotel Shelter,69,Room Based Capacity,,,,,,66,2,,97.06
City of Toronto,Fort York Residence,SSHA Fort York Residence,Shelter,45,Bed Based Capacity,46,46,45,1,0,,,97.83,
City of Toronto,Progress Shelter,Progress Avenue Shelter,Shelter,92,Bed Based Capacity,92,92,92,0,0,,,100,
City of Toronto,Robertson House,Robertson House,Shelter,81,Room Based Capacity,,,,,,32,0,,100
City of Toronto,SSHA Etobicoke Hotel Program,SSHA Etobicoke Hotel Program,Motel/Hotel Shelter,171,Room Based Capacity,,,,,,138,0,,100
City of Toronto,SSHA Etobicoke Hotel Program,SSHA Etobicoke Hotel Program,Isolation/Recovery Site,1,Room Based Capacity,,,,,,1,0,,100
City of Toronto,Scarborough Village Residence,SSHA Scarborough Hotel Program 1,Motel/Hotel Shelter,48,Room Based Capacity,,,,,,24,0,,100
City of Toronto,Scarborough Village Residence,SSHA Scarborough Village Residence,Shelter,92,Bed Based Capacity,93,93,92,1,0,,,98.92,
City of Toronto,Seaton House,SSHA Junction Place,Shelter,62,Bed Based Capacity,62,62,62,0,0,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,51,Bed Based Capacity,51,51,51,0,0,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,79,Bed Based Capacity,80,81,79,1,1,,,98.75,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,18,Bed Based Capacity,22,22,18,4,0,,,81.82,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,5,Bed Based Capacity,5,10,5,0,5,,,100,
City of Toronto,Seaton House,SSHA Downtown Response Program,Shelter,53,Bed Based Capacity,53,60,53,0,7,,,100,
